"","Date","country","cases","year"
"629",2004-02-29,"Austria",726,2004
"630",2004-02-29,"Belgium",61,2004
"631",2004-02-29,"Bolivia",314,2004
"632",2004-02-29,"Brazil",228,2004
"633",2004-02-29,"Canada",1427,2004
"634",2004-02-29,"Chile",1,2004
"635",2004-02-29,"France",16,2004
"636",2004-02-29,"Germany",1257,2004
"637",2004-02-29,"Japan",91,2004
"638",2004-02-29,"Mexico",944,2004
"639",2004-02-29,"Netherlands",18,2004
"640",2004-02-29,"Peru",208,2004
"641",2004-02-29,"Romania",729,2004
"642",2004-02-29,"Spain",10,2004
"643",2004-02-29,"Switzerland",20,2004
"644",2004-02-29,"United States",989,2004
"645",2004-02-29,"Uruguay",106,2004
"646",2004-03-07,"Argentina",108,2004
"647",2004-03-07,"Austria",653,2004
"648",2004-03-07,"Belgium",109,2004
"649",2004-03-07,"Bolivia",370,2004
"650",2004-03-07,"Brazil",244,2004
"651",2004-03-07,"Canada",1409,2004
"652",2004-03-07,"Chile",1,2004
"653",2004-03-07,"France",18,2004
"654",2004-03-07,"Germany",1280,2004
"655",2004-03-07,"Japan",56,2004
"656",2004-03-07,"Mexico",1040,2004
"657",2004-03-07,"Netherlands",17,2004
"658",2004-03-07,"Peru",231,2004
"659",2004-03-07,"Romania",703,2004
"660",2004-03-07,"Spain",14,2004
"661",2004-03-07,"Switzerland",17,2004
"662",2004-03-07,"United States",919,2004
"663",2004-03-07,"Uruguay",110,2004
"664",2004-03-14,"Argentina",107,2004
"665",2004-03-14,"Austria",600,2004
"666",2004-03-14,"Belgium",70,2004
"667",2004-03-14,"Bolivia",421,2004
"668",2004-03-14,"Brazil",213,2004
"669",2004-03-14,"Canada",1404,2004
"670",2004-03-14,"Chile",4,2004
"671",2004-03-14,"France",14,2004
